candidate_id,gate_id,gate,artifact,artifact_present,status,acceptance_threshold,supporting_metric,closure_boundary
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,G11C,uncertainty_budget,beam_deflection_broadening_calibration.csv,False,missing_required_artifact,full reported-SE joint pass >= 0.80,full_reported_se_joint_pass,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,G11C,uncertainty_budget,kappa_uncertainty_notes.md,False,missing_required_artifact,full reported-SE joint pass >= 0.80,full_reported_se_joint_pass,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,G11C,uncertainty_budget,paired_contrast_values.csv,False,missing_required_artifact,full reported-SE joint pass >= 0.80,full_reported_se_joint_pass,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,G11F,stress_threshold,beam_deflection_broadening_calibration.csv,False,missing_required_artifact,bootstrap joint stress pass >= 0.80,bootstrap_p_joint_stress_gate,do not count a stress pass created by refitting visibility or narrowing uncertainty post hoc
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,G11F,stress_threshold,kappa_uncertainty_notes.md,False,missing_required_artifact,bootstrap joint stress pass >= 0.80,bootstrap_p_joint_stress_gate,do not count a stress pass created by refitting visibility or narrowing uncertainty post hoc
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,G11F,stress_threshold,paired_contrast_values.csv,False,missing_required_artifact,bootstrap joint stress pass >= 0.80,bootstrap_p_joint_stress_gate,do not count a stress pass created by refitting visibility or narrowing uncertainty post hoc
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,G11G,provenance_permission,beam_deflection_broadening_calibration.csv,False,missing_required_artifact,public or permitted raw calibration tables present,public_source_raw_calibration_tables_found,opaque data cannot enter the public repo as validation evidence
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,G11G,provenance_permission,kappa_uncertainty_notes.md,False,missing_required_artifact,public or permitted raw calibration tables present,public_source_raw_calibration_tables_found,opaque data cannot enter the public repo as validation evidence
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,G11G,provenance_permission,paired_contrast_values.csv,False,missing_required_artifact,public or permitted raw calibration tables present,public_source_raw_calibration_tables_found,opaque data cannot enter the public repo as validation evidence
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,G11G,provenance_permission,source_permission.md,False,missing_required_artifact,public or permitted raw calibration tables present,public_source_raw_calibration_tables_found,opaque data cannot enter the public repo as validation evidence
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,G11G,provenance_permission,extraction_method.md,False,missing_required_artifact,public or permitted raw calibration tables present,public_source_raw_calibration_tables_found,opaque data cannot enter the public repo as validation evidence
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,G11G,provenance_permission,reproducible hashes manifest,False,missing_required_artifact,public or permitted raw calibration tables present,public_source_raw_calibration_tables_found,opaque data cannot enter the public repo as validation evidence
